"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"117","Bonsch Herbert",0,5,6,10,0,0,0
"118","Borchers Adolf",0,2,21,13,42,23,0
"119","Borchers Walter",0,12,0,0,9,13,0
"120","Boremski Eberhard von",0,4,1,56,7,0,0
"121","Börngen Ernst",0,2,4,12,10,10,0
"122","Borris Karl",0,6,3,12,9,13,1
"123","Bosler Dietrich",0,6,0,0,0,0,0
"124","Braasch Kurt",0,2,1,0,2,3,0
"125","Brandle Kurt",0,7,1,90,52,0,0
"126","Braune Erhard",0,5,7,1,0,0,0
"127","Brugelmann Helmut",0,6,0,0,0,0,0
"128","Bucholz Max",0,9,18,1,0,0,0
"129","Buhl Adolf",0,11,0,0,0,0,0
"130","Buhligen Kurt",0,16,31,14,118,30,0
"131","Burk Alfred",0,2,0,0,6,0,0
"132","Busch Erwin",0,7,2,2,0,0,0
"133","Busgen Gunther",0,12,0,0,0,0,0
"134","Carganico Horst",0,6,1,0,3,3,0
"135","Christiansen Godborg",0,8,0,0,0,0,0
"136","Clade Josef-Emil",0,4,0,8,10,0,3
"137","Clerico Max",0,10,0,0,0,0,0
"138","Dahmer Hugo",0,9,0,1,7,0,0
"139","Dau Arthur",0,10,0,0,0,0,0
"140","Decker Otto",0,3,0,4,0,0,0
"141","Denk Gustav",0,1,5,46,16,0,0
"142","Dilling August",0,3,2,1,3,0,0
"143","Dobislav Max",0,10,7,0,0,0,0
"144","Dobrick Erich",0,2,0,0,3,4,0
"145","Dudeck Heinz",0,1,0,0,4,2,0
"146","Düllberg Ernst",0,6,4,8,10,9,0
"147","Ebbighausen Karl",0,12,0,0,0,0,0
"148","Ebeling Heinz",0,18,0,0,0,0,0
"149","Eberling Heinz",0,19,0,0,0,0,0
"150","Ebersberger Kurt",0,7,11,10,5,0,0
"151","Ebert Walter",0,1,0,5,12,3,0
"152","Eckardt Reinhold",0,3,12,7,0,0,0
"153","Eckerle Franz",0,4,33,22,0,0,1
"154","Ehle Walter",0,1,3,11,19,0,0
"155","Ehlers Hans",0,4,11,3,18,21,0
"156","Ehrenberger Rudolf",0,1,15,16,11,8,0
"157","Ehrler Heinrich",0,1,0,35,23,20,8
"158","Ewald Wolfgang",0,2,0,56,10,0,0
"159","Falkensamer Egon",0,4,0,0,3,0,0
"160","Fischer Siegfried",0,4,0,1,4,0,0
"161","Fleig Erwin",0,8,1,1,0,0,0
"162","Fleitz Hans",0,6,0,0,0,0,0
"163","Fluder Emmerich",0,6,3,1,0,0,0
"164","Forster Hermann",0,16,11,0,0,0,0
"165","Framm Gerhart",0,10,0,0,0,0,0
"166","Framm Gert",0,10,0,0,0,0,0
"167","Franke Alfred",0,4,8,48,0,0,0
"168","Franzisket Ludwig (Zirkus)",0,14,13,13,3,2,0
"169","Frentzel-Beyme Karl",0,2,4,5,0,0,0
"170","Freytag Siegfried",0,1,11,33,16,3,1
"171","Frhr. Ernst-Helmut",0,6,0,0,0,0,0
"172","Fricke Erich",0,1,6,1,0,0,0
"173","Friedrich Erich",0,2,2,5,0,0,0
"174","Frohlich Hans-Jurgen",0,1,6,4,0,0,0
"175","Fuchs Karl",0,1,10,19,33,0,0
"176","Fuhring Karl",0,7,4,0,0,0,0
"177","Galland Adolf (Dolfo)",0,59,41,0,0,2,7
"178","Gallowitsch Bernd",0,2,31,0,0,0,0
"179","Galubinski Hans",0,17,0,0,0,0,0
"180","Gartner Josef",0,13,0,0,0,0,0
"181","Gath Wilhelm",0,11,0,4,5,0,0
"182","Gildner Paul",0,3,13,14,4,0,0
"183","Gobel Siegfried",0,9,4,0,0,0,0
"184","Goedert Helmut",0,1,0,11,4,5,0
"185","Goltzsch Kurt",0,3,0,9,29,0,0
"186","Gottlob Heinrich",0,5,2,0,0,0,0
"187","Gottmann Leonhard",0,12,0,0,0,0,0
"188","Gotz Franz",0,11,1,10,6,6,0
"189","Götz Hans",0,3,14,26,34,0,0
"190","Graf Albin",0,9,0,0,0,0,0
"191","Graf Kurt",0,9,0,0,22,10,0
"192","Greisert Karl-Heinz (Heino)",0,9,10,14,0,0,0
"193","Griener Albert",0,4,1,1,0,2,0
"194","Griese Heinrich",0,2,12,0,0,0,0
"195","Grote Otto",0,6,0,0,0,0,0
"196","Gruber Viktor",0,1,0,9,0,0,0
"197","Grzymalla Gerhard",0,13,0,0,0,0,0
"198","Haase Arthur",0,6,0,0,0,0,0
"199","Haase Julius",0,8,0,0,0,0,0
"200","Haberland Karl",0,8,0,0,4,1,0
"201","Hachfeld Wilhelm",0,3,3,1,0,0,0
"202","Hackl Anton (Toni)",0,4,23,93,10,27,20
"203","Hahn Franz",0,7,10,0,0,0,0
"204","Hahn Hans",0,1,11,0,0,0,0
"205","Hahn Hans (Assi)",0,22,28,29,29,0,0
"206","Hahn Siegfried",0,1,0,0,7,0,0
"207","Haibock Josef",0,17,5,14,58,3,0
"208","Hauer Michael",0,11,0,0,0,0,0
"209","Haugk Helmut",0,9,4,3,0,0,0
"210","Hausmann Richard",0,5,3,0,0,0,0
"211","Heckmann Alfred (Fred)",0,3,24,26,5,12,1
"212","Heinbockel Hans-Erich",0,8,0,0,0,0,0
"213","Heinrich Kurt-Wilhelm",0,6,0,0,0,0,0
"214","Heinzeller Josef",0,6,1,6,0,2,0
"215","Heitmann Hans",0,4,0,3,9,3,0
"216","Heller Richard",0,3,7,0,3,1,0
"217","Helmer Karl",0,8,0,0,0,0,0
"218","Henrici Eberhard",0,6,0,0,0,0,0
"219","Hepe Hans-Jurgen",0,6,7,2,2,0,0
"220","Herget Wilhelm",0,17,2,13,33,12,0
"221","Hermes Wilhelm",0,14,0,0,0,0,0
"222","Hermichen Rolf-Günter",0,7,4,10,26,17,0
"223","Hess Gunther",0,4,1,7,2,0,0
"224","Heymann Rudolf",0,6,0,0,0,0,0
"225","Hilleke Otto-Heinrich",0,11,0,0,0,0,0
"226","Hofe Werner Pichon-Kalau von",0,6,0,9,0,0,0
"227","Hoffmann Heinrich",0,1,62,0,0,0,0
"228","Hoffmann Heinz",0,14,0,0,0,0,0
"229","Hoffmann Hermann",0,7,0,2,0,0,0
"230","Hoffmann Werner",0,2,0,2,16,26,6
"231","Hohagen Erich",0,10,19,0,12,8,0
"232","Hohnisch Heinrich",0,14,0,0,0,0,0
"233","Homuth Gerhard",0,15,18,28,2,0,0
"234","Hornig Gerhard",0,2,1,0,1,2,0
"235","Horten Walter",0,7,0,0,0,0,0
"236","Hott Heinrich",0,6,0,0,0,0,0
"237","Hrabak Dietrich",0,15,0,17,51,6,0
"238","Hubner Werner",0,13,0,0,0,0,0
"239","Hulshoff Karl",0,2,0,2,2,0,0
"240","Huppertz Herbert",0,5,29,3,22,17,1
"241","Huy Wolf-Dietrich",0,1,0,11,1,0,0
"242","Ihlefeld Herbert",0,26,21,33,1,12,0
"243","Ilner Johann",0,6,0,0,0,0,0
"244","Jabs Hans-Joachim",0,15,0,0,21,4,0
"245","Jackel Ernst",0,5,8,0,0,0,0
"246","Jaenisch Franz",0,6,2,0,0,0,0
"247","Jansen Josef",0,2,0,0,5,3,0
"248","Jentzsch Gerhard",0,7,0,0,0,0,0
"249","John Hans",0,9,0,0,0,0,0
"250","Jorke Helmut",0,13,0,0,0,0,0
"251","Jung Harald",0,3,10,0,0,0,0
"252","Jurgens Helmut",0,2,5,0,0,0,0
"253","Kageneck Erbo Graf von",0,13,54,0,0,0,0
"254","Kaiser Emil",0,7,1,0,6,1,0
"255","Kaiser Herbert",0,2,2,0,5,8,0
"256","Kaminski Herbert",0,3,2,0,1,0,0
"257","Kamp Hans-Karl",0,2,3,0,6,8,0
"258","Keil Gunther",0,15,2,0,0,0,0
"259","Keil Josef (Jupp)",0,7,0,0,0,3,7
