"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"510","Bach Otto",0,0,5,0,6,6,0
"511","Baer Fritz",0,0,1,7,0,0,0
"512","Bareuther Herbert",0,0,9,8,12,15,1
"513","Barkhorn Gerhard",0,0,10,92,126,61,12
"514","Barte Walter",0,0,2,9,6,5,0
"515","Bartels Heinrich",0,0,2,3,24,26,0
"516","Baudach Heinz-Helmut",0,0,3,7,3,8,0
"517","Bauer Franz",0,0,5,0,0,5,0
"518","Baumann Helmut",0,0,3,5,5,3,0
"519","Baumgartner Wilhelm",0,0,1,16,5,0,0
"520","Beckh Friedrich",0,0,5,1,0,0,0
"521","Beckh Gerhard",0,0,1,4,5,2,0
"522","Beerenbrock Franz-Josef",0,0,51,62,0,0,0
"523","Beese Artur",0,0,2,4,13,3,0
"524","Behrendt Gunther",0,0,2,4,4,0,0
"525","Beisswenger Hans (Beisser)",0,0,32,65,33,0,0
"526","Belser Helmut",0,0,14,22,0,0,0
"527","Berrenbrock Franz",0,0,6,0,0,0,0
"528","Berres Heinz-Edgar",0,0,2,23,28,0,0
"529","Berschwinger Hans",0,0,2,5,1,5,0
"530","Biederbick Helmut",0,0,6,9,0,4,0
"531","Bierwirth Heinrich",0,0,1,7,0,0,0
"532","Bigge Josef",0,0,3,1,5,0,0
"533","Bitsch Emil",0,0,5,41,61,1,0
"534","Bleymuller Alexander",0,0,2,9,0,0,0
"535","Bohn Kurt",0,0,4,3,0,0,0
"536","Bonin Eckart-Wilhelm von",0,0,3,8,21,6,0
"537","Boos Hans",0,0,14,14,9,0,0
"538","Böwing-Treuding Wolfgang",0,0,11,28,7,0,0
"539","Brand Richard",0,0,1,4,18,0,0
"540","Brandis Felix-Maria",0,0,14,0,0,0,0
"541","Brandt Paul",0,0,1,7,15,2,0
"542","Brandt Walter",0,0,7,28,4,2,3
"543","Braunshirn Georg",0,0,13,0,0,0,0
"544","Brechtl Josef",0,0,2,21,2,0,0
"545","Bremer Peter",0,0,5,6,25,1,0
"546","Brendel Joachim",0,0,1,2,92,28,0
"547","Broennle Herbert",0,0,20,15,25,0,0
"548","Bulow Wolf von",0,0,1,5,0,0,0
"549","Busenkell Albert",0,0,3,0,2,2,0
"550","Bussmann Rolf",0,0,8,5,8,3,0
"551","Christof Ernst",0,0,3,2,4,0,0
"552","Clausen Hans",0,0,11,4,2,0,0
"553","Dahl Walther",0,0,17,26,14,29,18
"554","Dahne Paul-Heinrich",0,0,1,7,58,25,0
"555","Damoser Rudolf",0,0,4,5,0,0,0
"556","Dettke Alfried",0,0,3,34,4,0,0
"557","Dickfeld Adolf",0,0,6,36,2,0,0
"558","Dimter Wilhelm",0,0,6,0,0,0,0
"559","Dinger Fritz",0,0,12,41,14,0,0
"560","Dippel Hans-Georg",0,0,4,7,9,4,0
"561","Döbele Anton",0,0,3,3,88,0,0
"562","Dobnig Josef",0,0,2,7,0,0,0
"563","Dörr Franz",0,0,1,5,21,66,0
"564","Drewes Martin",0,0,2,0,8,49,0
"565","Durkop Otto",0,0,2,4,1,0,0
"566","Eckhardt Reinhold",0,0,10,0,0,0,0
"567","Eder Georg-Peter",0,0,11,1,20,51,4
"568","Eichel-Streiber Diethelm von",0,0,5,0,62,29,0
"569","Eicher Theo",0,0,4,2,0,0,0
"570","Eicher Theobald",0,0,4,2,0,0,0
"571","Engel Wilhelm",0,0,1,2,4,6,0
"572","Espenlaub Albert",0,0,14,0,0,0,0
"573","Falkensammer Egon",0,0,1,3,2,0,0
"574","Fassong Horst-Gunther von",0,0,1,2,47,18,0
"575","Fast Hans-Joachim",0,0,1,4,1,0,0
"576","Fellerer Leopold",0,0,2,9,6,20,0
"577","Fink Günther",0,0,2,31,13,0,0
"578","Fischer Kurt-Reinhard",0,0,1,5,18,0,0
"579","Frank Hans-Dieter",0,0,6,10,35,2,0
"580","Frank Rudolf",0,0,2,5,21,25,0
"581","Freuworth Wilhelm",0,0,1,37,4,0,0
"582","Friebel Herbert",0,0,9,22,5,2,0
"583","Frielinghaus Gustav",0,0,7,28,39,0,0
"584","Funk Waldemar",0,0,5,8,0,0,0
"585","Fuss Hans",0,0,25,46,0,0,0
"586","Galland Paul",0,0,3,14,0,0,0
"587","Galland Wilhelm-Ferdinand (Wutz)",0,0,3,18,34,0,0
"588","Geiger August",0,0,1,10,37,0,0
"589","Gerecke Rudolf",0,0,4,15,0,0,0
"590","Gerhardt Dieter",0,0,1,4,3,0,0
"591","Gerken Heinz",0,0,9,0,0,0,0
"592","Gerth Peter",0,0,11,0,0,0,0
"593","Geyer Horst",0,0,6,0,8,0,0
"594","Glockner Rudolf",0,0,1,0,0,27,0
"595","Glunz Adolph 'Addi'",0,0,8,15,35,22,1
"596","Graf Hermann",0,0,42,159,5,7,0
"597","Grassmuck Berthold",0,0,1,16,0,0,0
"598","Grimm Heinz",0,0,3,3,18,0,0
"599","Grimm Josef",0,0,4,2,0,0,0
"600","Grislawski Alfred",0,0,11,73,36,14,0
"601","Gromotka Fritz",0,0,7,3,9,11,0
"602","Grosse Egon",0,0,22,0,0,0,0
"603","Haase Horst",0,0,9,3,30,8,0
"604","Hackbarth Georg",0,0,5,5,0,0,0
"605","Hackler Heinrich",0,0,1,24,16,14,0
"606","Hadeball Heinz-Martin",0,0,5,3,17,6,0
"607","Hafner Anton",0,0,14,66,38,86,0
"608","Häfner Ludwig",0,0,2,50,0,0,0
"609","Halfmann Johann",0,0,2,10,2,0,0
"610","Hammel Kurt",0,0,2,0,3,4,0
"611","Hammerl Karl",0,0,3,17,4,0,0
"612","Hannak Gunther",0,0,4,38,2,0,0
"613","Hartmann Ludwig-Friedrich",0,0,2,14,2,0,0
"614","Hartwein Hans-Joachim",0,0,2,4,0,0,0
"615","Heesen Ernst",0,0,1,6,3,0,0
"616","Hegner Willi",0,0,7,0,0,0,0
"617","Heidel Alfred",0,0,3,7,0,0,0
"618","Heineke Hans-Joachim",0,0,1,12,0,0,0
"619","Hepe Jurgen",0,0,4,3,2,0,0
"620","Heyer Hans-Joachim",0,0,10,43,0,0,0
"621","Hillgruber Walther",0,0,7,1,0,0,0
"622","Hinkelmann Joachim",0,0,4,0,0,2,0
"623","Hoeckner Walter",0,0,3,1,23,4,0
"624","Höfemeier Heinrich",0,0,25,9,28,0,0
"625","Hoffmann Friedrich",0,0,9,2,0,0,0
"626","Hohler Walter",0,0,28,0,0,0,0
"627","Hohmeyer Herbert",0,0,1,1,9,0,0
"628","Hordt Helmut",0,0,7,1,0,0,0
"629","Jennewein Josef (Pep)",0,0,5,0,66,0,0
"630","Johannsen Hans",0,0,8,0,0,0,0
"631","Jung Erich",0,0,2,0,1,11,0
"632","Jung Heinrich",0,0,2,0,30,0,0
"633","Kaufhold Karl",0,0,6,0,0,0,0
"634","Keppler Gerhard",0,0,1,10,5,3,0
"635","Kirchmayr Rüdiger von",0,0,1,4,2,28,8
"636","Kirschner Joachim",0,0,1,88,134,0,0
"637","Kittel tto (Bruno)",0,0,12,18,106,122,1
"638","Klager Ernst",0,0,1,26,0,0,0
"639","Knacke Reinhold",0,0,13,66,5,0,0
"640","Knappe Kurt",0,0,9,35,3,0,0
"641","Knauth Johann",0,0,18,7,1,0,0
"642","Koall Gerhard (Knall)",0,0,8,10,14,5,0
"643","Kohler Armin",0,0,1,12,23,4,0
"644","Kohler Otto",0,0,1,0,0,5,0
"645","Kollak Reinhard",0,0,8,6,19,17,0
"646","Korner Friedrich",0,0,4,35,0,0,0
"647","Körner Friedrich",0,0,4,32,0,0,0
"648","Koster Alfons",0,0,22,11,0,7,0
"649","Krafft Heinz",0,0,15,0,0,0,0
"650","Kretschmer Wolfgang",0,0,2,6,4,1,0
"651","Kromer Alfred",0,0,4,13,5,0,0
"652","Kruger Horst-Benno",0,0,7,9,0,0,0
"653","Krupinski Walter (Graf Punski)",0,0,1,53,109,22,2
"654","Kuhdorf Karl",0,0,1,1,13,10,0
"655","Kulp Franz",0,0,6,0,0,0,0
"656","Langer Kark-Heinz",0,0,2,9,5,9,5
"657","Lasse Kurt",0,0,39,0,0,0,0
"658","Laube Ernst",0,0,3,1,6,6,0
"659","Laube Martin",0,0,1,0,8,0,0
"660","Launer Richard",0,0,1,1,5,0,0
"661","Lautenschlager Gerhard",0,0,7,23,0,0,0
"662","Leber Heinz",0,0,9,6,26,0,0
"663","Leibold Erwin",0,0,6,5,0,0,0
"664","Leiste Hermann",0,0,7,2,0,0,0
"665","Lemke Wilhelm",0,0,16,75,45,0,0
"666","Lindner Anton",0,0,12,5,43,0,0
"667","Lippe-Weissenfeldt Egmont Prinz zur",0,0,8,0,0,0,0
"668","Lohr Ernst-Heinz",0,0,1,1,32,4,0
"669","Loos Kurt",0,0,4,11,0,0,0
"670","Louis Joachim",0,0,1,23,0,0,0
"671","Luddecke Robert",0,0,4,0,2,2,0
"672","Luddeke Robert",0,0,3,0,2,8,0
"673","Ludwig Georg",0,0,1,28,5,9,0
"674","Lütje Herbert",0,0,3,13,16,9,8
"675","Maack Ernst",0,0,2,4,0,0,0
"676","Maltzahn Gunther Furher von",0,0,2,13,1,0,0
"677","Martin Max",0,0,7,0,0,1,0
"678","Marx Paul",0,0,1,3,1,1,0
"679","Maurer Ottmar",0,0,12,0,0,0,0
"680","Meister Ludwig",0,0,3,0,13,16,1
"681","Mietusch Kurt",0,0,2,0,5,2,0
"682","Mihlan Heinz",0,0,6,0,0,0,0
"683","Milius Walter",0,0,2,6,3,0,0
"684","Milowa Ivo von Lubich-Edler",0,0,1,0,1,10,0
"685","Mink Wilhelm",0,0,29,44,0,0,0
"686","Moller Hans",0,0,8,18,9,2,0
"687","Morzinek Willi",0,0,6,12,0,2,0
"688","Muller Gustl",0,0,5,14,2,0,0
"689","Müller Rudolf (Rudi)",0,0,8,130,11,0,0
"690","Munz Karl",0,0,2,0,16,29,4
"691","Naumann Hans",0,0,4,0,20,0,0
"692","Neumann Erdmann",0,0,1,0,5,0,0
"693","Ney Siegfried",0,0,11,0,0,0,0
"694","Niedereicholz Kurt",0,0,1,0,4,1,0
"695","Niederhofer Hans",0,0,8,0,4,0,0
"696","Niederreichholz Kurt",0,0,1,0,5,1,0
"697","Nielinger Rudolf",0,0,8,0,1,0,0
"698","Nordmann Gottfried",0,0,10,0,0,0,0
"699","Nowak Karl",0,0,7,0,0,0,0
"700","Nowotny Walter (Nowi)",0,0,10,12,196,3,0
"701","Omert Emil",0,0,39,34,10,6,0
"702","Paczia Erich",0,0,1,30,1,0,0
"703","Pahler Heinz",0,0,4,8,0,2,0
"704","Patzak Rudolf",0,0,1,14,7,1,0
"705","Pichler Johann",0,0,1,10,9,14,0
"706","Potthast Friedrich",0,0,2,0,1,7,0
"707","Proske Gerhard",0,0,2,18,5,0,0
"708","Puschmann Herbert (Puschi)",0,0,10,28,16,3,0
"709","Quack Wilhelm",0,0,14,3,0,0,0
"710","Quante Richard",0,0,4,26,0,0,0
"711","Radusch Günther (Fips)",0,0,1,10,30,23,0
"712","Raimann Gerhard",0,0,1,18,0,0,0
"713","Remmer Hans",0,0,8,7,4,8,0
"714","Resch Elmar",0,0,1,6,1,0,0
"715","Reuter Horst",0,0,9,12,0,0,0
"716","Ritschel Franz",0,0,1,0,3,2,0
"717","Roehrig Hans",0,0,3,55,17,0,0
"718","Roll Ludwig",0,0,8,0,0,0,0
"719","Rollwage Herbert",0,0,11,24,12,23,1
"720","Rose Helmut",0,0,1,9,0,0,0
"721","Rubell Gunter",0,0,8,0,0,0,0
"722","Rüffler Helmut",0,0,9,42,2,10,0
"723","Rupp Friedrich",0,0,4,46,2,0,0
"724","Sallwisch Erwin",0,0,6,0,0,0,0
"725","Sattig Carl",0,0,1,16,0,0,0
"726","Sawert Heinz",0,0,5,0,9,12,0
"727","Saynisch Walter",0,0,3,3,2,4,0
"728","Schack Günther",0,0,2,9,44,47,0
"729","Schauder Paul",0,0,9,2,3,8,0
"730","Scherfling Karl-Heinz",0,0,2,4,22,5,0
"731","Schick Walter",0,0,9,0,0,0,0
"732","Schiess Franz (Nawratil)",0,0,14,19,37,0,0
"733","Schlauch Otto",0,0,1,4,2,3,0
"734","Schleef Hans",0,0,23,26,48,4,0
"735","Schmid Johannes",0,0,42,0,0,0,0
"736","Schmidt Johannes",0,0,3,8,0,0,0
"737","Schmidt Ludwig",0,0,1,2,1,2,0
"738","Schnörrer Karl (Quax)",0,0,1,2,32,0,11
"739","Schoenert Rudolf",0,0,11,14,34,3,0
"740","Schofbeck Erich",0,0,1,13,0,0,0
"741","Schonfelder Helmut",0,0,2,8,0,19,0
"742","Schow Werner",0,0,1,11,0,0,0
"743","Schroer Werner",0,0,7,54,30,11,12
"744","Schulz Albert",0,0,2,6,2,3,0
"745","Schumacher Werner",0,0,1,32,0,0,0
"746","Schutze Hans-Georg",0,0,2,4,0,0,0
"747","Seidel Georg",0,0,8,19,5,0,0
"748","Seidl Alfred",0,0,1,11,8,5,0
"749","Semrau Paul",0,0,7,5,1,19,0
"750","Siegler Peter",0,0,11,33,0,0,0
"751","Sigmund Rudolf",0,0,1,6,21,0,0
"752","Simon Friedrich",0,0,1,2,5,5,0
"753","Sinner Rudolf",0,0,2,30,3,2,3
"754","Sochatzy Kurt",0,0,39,0,0,0,0
"755","Spanke Theo",0,0,6,5,0,0,0
"756","Stadeck Karl",0,0,1,4,4,0,0
"757","Stahlschmidt Hans-Arnold",0,0,6,53,0,0,0
"758","Stebner Theodor",0,0,5,0,1,0,0
"759","Steinbatz Leopold (Bazi)",0,0,3,30,0,0,0
"760","Steinhausen Günther",0,0,6,34,0,0,0
"761","Sternberg Horst",0,0,4,7,12,0,0
"762","Stockelmann Werner",0,0,6,0,0,0,0
"763","Stolte Paul",0,0,2,1,39,0,0
"764","Stolz Johannes",0,0,1,3,3,0,0
"765","Stratmann Willi",0,0,3,13,10,3,0
"766","Streit Hermann",0,0,1,2,4,0,0
"767","Strelow Hans",0,0,27,27,0,0,0
"768","Tangerding Hermann",0,0,6,3,0,0,0
"769","Tegtmeier Fritz",0,0,7,16,52,40,0
"770","Teumer Alfred (Fred)",0,0,1,8,1,23,0
"771","Thiel Edwin",0,0,2,8,22,7,0
"772","Thimmig Wolfgang",0,0,6,4,9,4,0
"773","Ubelbacher Richard",0,0,4,9,2,0,0
"774","Unzeitig Robert",0,0,9,1,0,0,0
"775","Vinzent Otto",0,0,5,1,37,2,0
"776","Vogt Gerhard",0,0,2,9,6,31,0
"777","Walther Horst",0,0,6,19,4,2,0
"778","Wassermann Erich",0,0,9,0,0,0,0
"779","Weber Karl-Heinz",0,0,12,10,88,26,0
"780","Wegmann Gunther",0,0,2,2,10,0,0
"781","Weismann Ernst",0,0,15,53,0,0,0
"782","Weiss Robert (Bazi)",0,0,1,2,76,42,0
"783","Wiese Johannes",0,0,1,40,65,7,0
"784","Wintergerst Eugen",0,0,20,0,2,0,0
"785","Wohlers Heinrich",0,0,2,5,21,1,0
"786","Woidich Franz",0,0,2,9,46,23,0
"787","Wunder Oskar",0,0,2,5,0,0,0
"788","Wunderlich Horst",0,0,1,10,0,0,0
"789","Zellot Walter",0,0,13,73,0,0,0
"790","Zick Siegfried",0,0,1,0,12,20,0
"791","Zielken Helmut",0,0,7,0,0,0,0
"792","Adam Hans",0,0,0,8,3,0,0
"793","Albrecht Egon",0,0,0,11,0,6,0
"794","Aloe Herbert",0,0,0,3,23,9,0
"795","Altner Herbert",0,0,0,1,4,16,0
"796","Augenstein Hans-Heinz",0,0,0,1,25,18,0
"797","Augustin Jacob",0,0,0,7,0,0,0
"798","Autenreith Hans",0,0,0,4,5,0,0
"799","Bachmann Friedrich-Wilhelm",0,0,0,8,0,0,0
"800","Badum Johann",0,0,0,53,1,0,0
"801","Bahnsen Jens",0,0,0,10,14,0,0
"802","Bahr Günther",0,0,0,1,9,10,16
"803","Barnickel Friedrich",0,0,0,2,7,0,0
"804","Baum Heinz",0,0,0,32,0,0,0
"805","Baumann Lothar",0,0,0,4,0,6,0
"806","Becker Karl",0,0,0,1,5,0,0
"807","Becker Paul",0,0,0,3,9,12,0
"808","Beckers Werner",0,0,0,4,10,0,0
"809","Beckmann Helmut",0,0,0,1,2,8,0
"810","Bergmann Gotz",0,0,0,7,12,5,0
"811","Bergmann Helmut",0,0,0,3,17,28,0
"812","Bertram Karl-Friedrich",0,0,0,11,0,0,0
"813","Beulich Erich",0,0,0,2,8,0,0
"814","Beutin Gerhard",0,0,0,25,35,0,0
"815","Beyer Heinz",0,0,0,8,9,0,0
"816","Biermann Herbert",0,0,0,4,4,0,0
"817","Bietmann Ludwig",0,0,0,7,0,0,0
"818","Bilfinger Fritz",0,0,0,11,1,6,0
"819","Blasy Gustav",0,0,0,6,1,0,0
"820","Blaut Heinrich",0,0,0,8,0,0,0
"821","Boker Burchard",0,0,0,15,0,0,0
"822","Bosin Heinrich",0,0,0,3,7,0,0
"823","Bottcher Herbert",0,0,0,16,0,0,0
"824","Brandes Heinz-Helmut",0,0,0,2,0,5,0
"825","Brandl Josef",0,0,0,3,4,0,0
"826","Brezina Frantisek",0,0,0,1,13,0,0
"827","Bringmann Arnold",0,0,0,5,20,0,0
"828","Brinkhaus Franz",0,0,0,1,1,15,0
"829","Brocke Jurgen",0,0,0,17,0,0,0
"830","Brucki Edmund",0,0,0,7,0,0,0
"831","Brutzer Arthur",0,0,0,8,0,0,0
"832","Budke Wilhelm",0,0,0,14,0,0,0
"833","Bugaj Karl",0,0,0,4,2,0,0
"834","Burda Johannes",0,0,0,5,1,0,0
"835","Burkhardt Ludwig-Wilhelm (Lutz)",0,0,0,53,4,12,0
"836","Buschmann Franz",0,0,0,1,5,3,0
"837","Buschmann Hubert",0,0,0,20,1,0,0
"838","Cetto Werner",0,0,0,7,3,0,0
"839","Crinius Wilhelm",0,0,0,107,7,0,0
"840","Crump Peter",0,0,0,3,23,10,2
"841","Dadd Klaus",0,0,0,5,9,0,0
"842","Dammers Hans",0,0,0,41,12,2,0
"843","Daspelgruber Franz",0,0,0,33,15,0,0
"844","Decker Franz",0,0,0,18,0,0,0
"845","Dehrmann Herbert",0,0,0,2,11,2,0
"846","Deicke Joachim",0,0,0,4,1,1,0
"847","Denzel Robert",0,0,0,1,9,0,0
"848","Deterra Paul-Rudolf",0,0,0,2,3,16,0
"849","Deuper Willi",0,0,0,5,1,0,0
"850","Diepgen Hans-Ulrich",0,0,0,11,0,0,0
"851","Diergardt Rolf",0,0,0,28,0,0,0
"852","Dilling Gustav",0,0,0,21,9,0,0
"853","Dittlmann Heinrich",0,0,0,3,44,11,0
"854","Dombacher Kurt",0,0,0,1,23,19,0
"855","Doring Werner",0,0,0,2,4,2,0
"856","Döring Arnold",0,0,0,3,1,3,2
"857","Dormann Wilhelm",0,0,0,2,12,0,0
"858","Dornbrack Werner",0,0,0,3,0,3,0
"859","Dorre Edgar",0,0,0,6,11,0,0
"860","Ebener Kurt",0,0,0,37,15,5,0
"861","Eberle Karl",0,0,0,2,5,0,0
"862","Edelmann Fritz",0,0,0,2,4,0,0
"863","Eder Bruno",0,0,0,1,5,0,0
"864","Eikmeier Bruno",0,0,0,2,4,0,0
"865","Eisele Rudolf",0,0,0,6,3,0,0
"866","Eisenach Franz",0,0,0,4,44,68,12
"867","Ellendt Hans",0,0,0,5,51,0,0
"868","Engfer Siegfried",0,0,0,53,5,0,0
"869","Englisch Iring",0,0,0,7,3,2,0
"870","Epphardt Herbert",0,0,0,1,4,2,0
"871","Erlenkamper Friedrich",0,0,0,12,2,0,0
"872","Ermisch Heinz",0,0,0,11,9,0,0
"873","Ernst Wolfgang",0,0,0,4,16,6,0
"874","Esser Wilhelm",0,0,0,1,4,3,0
"875","Ettel Wolf",0,0,0,33,91,0,0
"876","Eyrich Waldemar",0,0,0,8,27,1,0
"877","Ferger Heinz",0,0,0,1,4,14,0
"878","Feyerlein Hans",0,0,0,4,18,1,0
"879","Fieber Johann",0,0,0,10,9,0,0
"880","Fink Raoul",0,0,0,4,3,0,0
"881","Finkler Paul",0,0,0,8,12,0,0
"882","Fischer-Botow Rudolf",0,0,0,7,0,0,0
"883","Fitschen Wilhelm",0,0,0,13,0,0,0
"884","Fladrich Kurt",0,0,0,1,7,6,0
"885","Flecks Reinhard",0,0,0,3,7,6,0
"886","Flecks Reinhold",0,0,0,2,7,11,0
"887","Flindt Rudolf",0,0,0,1,5,0,0
"888","Focke Wulf",0,0,0,2,3,6,0
"889","Fonnekold Otto",0,0,0,7,84,42,0
"890","Forbrig Horst",0,0,0,4,51,1,0
"891","Forg Rasso",0,0,0,6,13,2,0
"892","Forster Gerhard",0,0,0,4,23,1,0
"893","Forster Richard",0,0,0,9,5,5,0
"894","Franke Herbert",0,0,0,10,1,0,0
"895","Frankenberger Heinrich",0,0,0,3,7,0,0
"896","Frese Hans",0,0,0,10,33,0,0
"897","Friedrich Gerhard (Gerd)",0,0,0,5,4,11,13
"898","Friese Helmut",0,0,0,2,7,0,0
"899","Fuchs Heinz",0,0,0,1,7,6,0
"900","Fullgrabe Heinrich",0,0,0,28,1,1,0
"901","Funcke Hans",0,0,0,6,9,0,0
"902","Furch Ralph",0,0,0,18,4,0,0
"903","Gammel Fritz",0,0,0,19,0,0,0
"904","Gantz Benno",0,0,0,13,0,0,0
"905","Gehrels Fritz",0,0,0,2,3,2,0
"906","Gendelmeyer Wolfgang",0,0,0,10,0,0,0
"907","Germeroth Rudolf",0,0,0,4,2,0,0
"908","Gerthofer Jan",0,0,0,1,23,0,0
"909","Giese Willy",0,0,0,25,0,0,0
"910","Gilhaus Franz",0,0,0,12,0,0,0
"911","Gleissner Hans",0,0,0,9,16,0,0
"912","Godert Helmut",0,0,0,5,4,4,0
"913","Goetze Kurt",0,0,0,1,6,0,0
"914","Golinski Heinz (Figaro)",0,0,0,45,2,0,0
"915","Gollasch Erich",0,0,0,4,3,0,0
"916","Gomann Heinz",0,0,0,1,9,3,0
"917","Gosemann Heinz",0,0,0,11,2,6,0
"918","Gotze Gunther",0,0,0,7,2,0,0
"919","Graf Heinrich",0,0,0,33,0,0,0
"920","Gransow Burkhard",0,0,0,13,0,0,0
"921","Gratz Karl",0,0,0,30,6,26,0
"922","Gref Hans",0,0,0,1,14,0,0
"923","Greiner Georg-Hermann",0,0,0,2,11,29,9
"924","Groiss Leopold",0,0,0,1,6,0,0
"925","Grollmuss Helmut",0,0,0,3,38,21,0
"926","Gruber Otto",0,0,0,28,0,0,0
"927","Grünberg Hans ""Specker""",0,0,0,11,52,14,5
"928","Grunlinger Walter",0,0,0,7,8,0,0
"929","Gumprecht Herbert",0,0,0,7,8,0,0
"930","Haberda Helmut",0,0,0,16,42,0,0
"931","Haesler Alfred",0,0,0,2,4,0,0
"932","Hagedorn Franz",0,0,0,25,0,0,0
"933","Hagenah Walter",0,0,0,6,1,9,1
"934","Hammer Alfred",0,0,0,1,8,10,7
"935","Haninger Rudolf",0,0,0,2,6,4,0
"936","Hannig Horst",0,0,0,38,8,0,0
"937","Hansel Helmut",0,0,0,6,0,0,0
"938","Hanstein Helmut",0,0,0,2,7,0,0
"939","Harder Jurgen",0,0,0,28,8,27,0
"940","Hartmann Erich",0,0,0,1,158,173,21
"941","Hartmann Fritz",0,0,0,2,0,4,0
"942","Hauswirth Wilhelm",0,0,0,10,40,0,0
"943","Heck Walter",0,0,0,18,7,0,0
"944","Heeg Friedrich",0,0,0,29,0,0,0
"945","Heitkamp Walter",0,0,0,13,0,0,0
"946","Hellfritzsch Fritz-Hermann",0,0,0,11,0,0,0
"947","Helmer Robert",0,0,0,13,3,0,0
"948","Heuer Georg",0,0,0,4,2,0,0
"949","Hissbach Heinz-Horst",0,0,0,5,0,26,0
"950","Hoffmann Gerhard",0,0,0,3,50,84,0
"951","Hoffmann Reinhold",0,0,0,2,56,9,0
"952","Hofmann Wilhelm",0,0,0,1,2,37,4
"953","Hofrath Kurt",0,0,0,24,0,0,0
"954","Hohenberg Werner",0,0,0,11,16,0,0
"955","Holler Kurt",0,0,0,9,6,0,0
"956","Holtz Helmut",0,0,0,1,32,23,0
"957","Hoppe Heinz",0,0,0,1,13,0,0
"958","Hoppe Helmut",0,0,0,2,16,0,0
"959","Hrdlicka Franz",0,0,0,5,14,7,0
"960","Hubner Eckhardt",0,0,0,16,0,0,0
"961","Hubner Gerhard",0,0,0,7,0,0,0
"962","Hueck Karl",0,0,0,16,2,0,0
"963","Humann Alfred",0,0,0,4,4,0,0
"964","Humer Alfred",0,0,0,15,1,1,0
"965","Husemann Werner",0,0,0,1,13,15,0
"966","Hutter Georg",0,0,0,1,8,1,0
"967","Kemethmuller Heinz",0,0,0,36,18,36,0
"968","Kettner Berthold",0,0,0,6,13,0,0
"969","Kickert Ralf",0,0,0,20,0,0,0
"970","Kientsch Wilhelm (Willy)",0,0,0,32,34,3,0
"971","Kierstein Paul",0,0,0,12,0,0,0
"972","Kirchner Gunter",0,0,0,6,6,0,0
"973","Kirchner Gunther",0,0,0,10,0,0,0
"974","Kirchner Joachim",0,0,0,6,1,2,0
"975","Kischnick Helmut",0,0,0,2,5,6,0
"976","Kittler Herbert",0,0,0,18,2,0,0
"977","Kiworra Hermann",0,0,0,34,0,0,0
"978","Klante Helmut",0,0,0,10,8,0,0
"979","Kleinert Heinz",0,0,0,6,0,0,0
"980","Kleinert Otto",0,0,0,2,3,1,0
"981","Klemm Rudolf",0,0,0,32,11,15,1
"982","Klipgen Rolf",0,0,0,6,0,0,0
"983","Kloss Werner",0,0,0,4,12,0,0
"984","Klotzer Hartmut",0,0,0,8,0,0,0
"985","Knies Alfred",0,0,0,5,1,0,0
"986","Knoke Heinz",0,0,0,2,19,13,0
"987","Koberich Gunther",0,0,0,2,4,2,0
"988","Koch Hans-Gunther",0,0,0,4,9,0,0
"989","Kohler Arnim",0,0,0,12,2,12,0
"990","Köhne Walter",0,0,0,2,7,11,1
"991","Kolb Karl",0,0,0,3,3,0,0
"992","Kolodzie Erich",0,0,0,4,4,5,0
"993","Kolschek Max",0,0,0,2,4,0,0
"994","König Friz",0,0,0,2,1,3,0
"995","Koppen Gerhard",0,0,0,17,0,0,0
"996","Korts Berthold",0,0,0,21,84,0,0
"997","Krainik Erich",0,0,0,13,0,0,0
"998","Krais Uwe",0,0,0,13,3,0,0
"999","Krause Gerhard",0,0,0,12,0,0,0
"1000","Krause Hans",0,0,0,5,1,11,0
"1001","Kray Ferdinand",0,0,0,2,13,9,0
"1002","Kriegel Gerhard",0,0,0,5,13,8,0
"1003","Kroschinski Hans-Joachim",0,0,0,4,36,5,0
"1004","Kruger Alfred",0,0,0,13,5,0,0
"1005","Krutzke Gunther",0,0,0,8,0,0,0
"1006","Kuhlein Elias",0,0,0,15,3,2,0
"1007","Kuhnel Hans",0,0,0,1,6,0,0
"1008","Kuken Wilhelm",0,0,0,8,39,5,0
"1009","Kunz Franz",0,0,0,1,1,5,0
"1010","Kunz Josef",0,0,0,3,3,7,0
"1011","Kuthe Wolfgang",0,0,0,3,10,0,0
"1012","Langer Hans",0,0,0,4,8,0,0
"1013","Laskowski Erwin",0,0,0,3,1,10,0
"1014","Lechner Alois",0,0,0,10,30,2,0
"1015","Leicher Otto",0,0,0,18,0,0,0
"1016","Leicht Hermann",0,0,0,5,1,0,0
"1017","Leuschel Rudolf",0,0,0,1,7,1,0
"1018","Loffler Hans",0,0,0,2,0,5,0
"1019","Lohberg Ernst",0,0,0,8,19,0,0
"1020","Lorentzen Friedrich",0,0,0,21,0,0,0
"1021","Lucas Werner",0,0,0,35,40,0,0
"1022","Lücke Hermann (Anatol)",0,0,0,5,73,0,0
"1023","Lüddecke Fritz (Paul)",0,0,0,1,17,33,0
"1024","Luer Friedrich",0,0,0,3,9,0,0
"1025","Luneburg Artur",0,0,0,1,12,4,0
"1026","Macher Helmut",0,0,0,19,0,0,0
